Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description
signature-6-cake,"6"" Signature Celebration Cake","<p>A grown-up celebration cake, hand-finished in textured buttercream and dusted by hand. Serves 10-12, baked fresh the morning of your delivery - never mass-produced. Choose your flavour and add a message. Islandwide delivery. Order 3 days ahead.</p>",Lola Dust,Celebration Cake,"cake,celebration,signature,premium",TRUE,Flavour,Gula Melaka,157.00,shopify,12,deny,manual,TRUE,TRUE,,"Customised 6"" Celebration Cake Singapore | From $157 | Lola Dust","Premium home-baked celebration cakes, hand-textured buttercream, fresh daily. Islandwide delivery in Singapore. Free delivery over $150."
signature-6-cake,,,,,,,Flavour,Pandan Kaya,157.00,shopify,12,deny,manual,TRUE,TRUE,,,
signature-6-cake,,,,,,,Flavour,Dark Chocolate,157.00,shopify,12,deny,manual,TRUE,TRUE,,,
signature-6-cake,,,,,,,Flavour,Earl Grey,157.00,shopify,12,deny,manual,TRUE,TRUE,,,
gula-melaka-tiramisu,"Gula Melaka Tiramisu","<p>Not from Italy - from a Singapore home kitchen. Layers of coffee-soaked sponge and mascarpone, deepened with rich Gula Melaka palm sugar and a whisper of pandan. Available whole or as a box of single-serve cups. Small weekly batches.</p>",Lola Dust,Tiramisu,"tiramisu,gula-melaka,signature,viral",TRUE,Format,Whole cake,58.00,shopify,20,deny,manual,TRUE,TRUE,,"Gula Melaka Tiramisu Singapore | Whole & Cups | Lola Dust","Singapore's viral Gula Melaka tiramisu - coffee, mascarpone, palm sugar & pandan. Small-batch, islandwide delivery. Order this week's drop."
gula-melaka-tiramisu,,,,,,,Format,Box of 4 cups,42.00,shopify,20,deny,manual,TRUE,TRUE,,,
bento-cake,"Bento Cake","<p>A lunchbox-size cake with hand-lettered buttercream - the easiest yes in your week. Clean lines, pastel tones, your message on top. The perfect low-commitment gift or treat.</p>",Lola Dust,Bento Cake,"cake,bento,entry",TRUE,Colour,Ivory,52.00,shopify,15,deny,manual,TRUE,TRUE,,"Bento Cake Singapore | Hand-Lettered | Lola Dust","Minimalist bento lunchbox cakes, hand-lettered, home-baked in Singapore. Islandwide delivery. The easy, elegant gift."
banana-loaf,"Artisan Banana Loaf","<p>A moist brown-butter banana loaf, baked in small batches. Perfect as a gift, an office treat, or the easiest add-on to any cake order.</p>",Lola Dust,Bakes,"loaf,banana,add-on,gifting",TRUE,Size,Standard loaf,17.00,shopify,30,deny,manual,TRUE,TRUE,,"Artisan Banana Loaf Singapore | Home-Baked | Lola Dust","Small-batch brown-butter banana loaf, home-baked in Singapore. Great for gifting or pairing with our cakes. Islandwide delivery."
the-full-table,"The Full Table Bundle","<p>Everything a celebration needs in one delivery: the 6"" signature cake, a box of four Gula Melaka tiramisu cups, gold candles and a handwritten card. Save $21 versus buying separately.</p>",Lola Dust,Bundle,"bundle,best-value,gift",TRUE,Cake flavour,Gula Melaka,189.00,shopify,10,deny,manual,TRUE,TRUE,,"The Full Table Cake Bundle Singapore | Lola Dust","Cake, tiramisu cups, candles and a card in one delivery. The complete celebration bundle, delivered islandwide in Singapore."
the-full-table,,,,,,,Cake flavour,Pandan Kaya,189.00,shopify,10,deny,manual,TRUE,TRUE,,,
